Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended,Wifi & Connectivity,Aircraft
Business,Business Class,London Heathrow to Frankfurt,October 2022,3.0,4.0,3.0,,1.0,1,no,,
Solo Leisure,Economy Class,London Heathrow to Bangkok via Doha,December 2022,2.0,2.0,2.0,2.0,1.0,1,no,,
Couple Leisure,Premium Economy,London Gatwick to Cancun,November 2022,4.0,1.0,1.0,3.0,1.0,1,no,,
Solo Leisure,Premium Economy,London to Phoenix,December 2022,3.0,5.0,4.0,3.0,1.0,4,no,,
Business,Business Class,London to Rome,December 2022,4.0,4.0,5.0,,1.0,4,yes,4.0,A321
Couple Leisure,Business Class,Barbados to London Heathrow,December 2022,1.0,1.0,1.0,1.0,1.0,1,no,,Boeing 777
Solo Leisure,Economy Class,Doha to  Gatwick,November 2022,2.0,5.0,4.0,4.0,3.0,5,yes,,Boeing 777-200
Business,Business Class,Glasgow to London,December 2022,5.0,5.0,3.0,3.0,5.0,3,no,3.0,A320
Couple Leisure,Premium Economy,London to Boston,December 2022,3.0,4.0,3.0,,3.0,3,yes,,Boeing 777
Solo Leisure,Business Class,London to Prague,November 2022,2.0,1.0,1.0,,2.0,1,no,,A320
Business,Business Class,London to Larnaca,December 2022,1.0,,,,2.0,3,no,,
Family Leisure,Economy Class,Cairo to London,December 2022,3.0,2.0,1.0,,3.0,2,no,,
Business,Economy Class,Denver to London,December 2022,1.0,1.0,1.0,3.0,1.0,1,no,,Boeing 787-9
Solo Leisure,Business Class,London to Marrakech,June 2022,3.0,5.0,5.0,,4.0,3,yes,,A320
Solo Leisure,Economy Class,San Francisco to London,November 2022,2.0,1.0,2.0,2.0,3.0,2,no,1.0,A380
Solo Leisure,Business Class,London to Lisbon,November 2022,3.0,4.0,4.0,,3.0,3,yes,,A320
Solo Leisure,Economy Class,Montreal to Edinburgh via London Heathrow,January 2022,4.0,4.0,4.0,4.0,4.0,4,yes,,Boeing 787 / A320
Solo Leisure,Economy Class,Miami to Budapest via London,November 2022,2.0,3.0,3.0,4.0,1.0,1,no,,
Solo Leisure,Premium Economy,Amman Jordan to London UK (Heathrow),November 2022,3.0,2.0,1.0,,4.0,2,no,,
Solo Leisure,Economy Class,Dusseldorf to London via Los Angeles,August 2022,1.0,1.0,1.0,1.0,1.0,1,no,1.0,
Solo Leisure,Business Class,London to Cape Town,November 2022,4.0,2.0,1.0,4.0,1.0,1,no,,Boeing 777
Solo Leisure,Economy Class,Milan to Dallas via London ,November 2022,2.0,5.0,2.0,2.0,2.0,1,no,2.0,
Solo Leisure,Economy Class,Baltimore to London Heathrow,November 2022,1.0,3.0,3.0,1.0,2.0,3,yes,,Boeing 787-8
